Assignee,Prompt,Verification,Function Written,Proved Solvable,Notes,,,
Dzaka,"Create a comprehensive 'Sprint Planning Dashboard' page as a child of the 'Sprint Planning - Jan 15' page. Start with a heading1 '🏃 Sprint Planning Dashboard', then add a callout with gray background and dashboard icon (📊) containing bold text 'Real-time sprint metrics and planning overview'. Next, fetch the parent 'Sprint Planning - Jan 15' page and analyze its content. Create a heading2 '👥 Team Participation', followed by a numbered list of all attendees found in the Attendees section. Then add a heading2 '🎯 Sprint Goals Status' with a progress visualization: for each sprint goal found, create a todo block with the goal text, marked as checked if the goal text contains words like 'Complete' or 'Implement', unchecked otherwise. After the goals, add a heading2 '📋 Action Items Breakdown' with a toggle block titled '📊 Detailed Metrics (Click to expand)'. Inside the toggle, add three quote blocks: first with 'Completed actions: [X] out of [Y] ([Z]%)', second with 'Team member with most actions: [Name]', third with 'Average actions per member: [X.X]'. End with a divider and a bookmark block linking to 'https://company.com/sprint-tools' with caption 'Access sprint planning tools'.","New dashboard page exists as child of Sprint Planning - Jan 15. Contains heading1, gray callout with dashboard metrics text, team participation list matching attendees from parent page, sprint goals as todo blocks with completion based on content, action items breakdown in toggle with three quote blocks showing calculated metrics, ending with divider and bookmark to sprint tools.",✅,❌,Toggle block,,,
Dzaka,"On the 'Project Guidelines & Best Practices' page, analyze all callout blocks and create a summary section. First, count callouts by background color. Then, insert a new heading_2 '📋 Guideline Categories Summary' immediately AFTER the 'Project Guidelines' heading (block-21-1) but BEFORE the first callout block. Under this heading, add a numbered list with exactly: '1. 💡 Tips & Suggestions: [X] guidelines (yellow background)', '2. ⚠️ Warnings: [Y] guidelines (orange background)', '3. 🚨 Critical Rules: [Z] guidelines (red background)', '4. ✅ Best Practices: [A] guidelines (green background)', '5. 📝 Notes: [B] guidelines (blue background)', '6. 🔒 Security: [C] guidelines (gray background)'. Then add a divider followed by a paragraph with bold text '**Total Guidelines: [TOTAL]**' where values are the actual counts from the page.","Verify that: 1) New heading_2 appears after main heading but before first callout, 2) Numbered list shows correct counts for each callout type (5 yellow, 5 orange, 5 red, 5 green, 5 blue, 5 gray), 3) Each list item has correct emoji and background color label, 4) Total shows 30 guidelines with bold formatting",✅,✅,"No custom block insert position, so I have to remove all current blocks and add back in the correct position",,,
Dzaka,"Navigate to the 'Weekly Standup Template' page. Insert a new section immediately AFTER the 'What I plan to do next week' section but BEFORE the 'Blockers' heading. Add a heading_2 block with text '🔄 In Progress This Week' styled to match the existing section headers. Directly beneath this heading, add exactly three unchecked to-do blocks with these exact texts: '⚡ Optimize database queries for better performance', '🛡️ Implement security audit recommendations', and '📊 Create dashboard for metrics tracking'. Then, add a divider block after these todos. Finally, at the very end of the page (after all existing content), add a paragraph with italic text saying 'Template last updated: [use today's date in YYYY-MM-DD format]'.","Check that: 1) New heading_2 '🔄 In Progress This Week' appears after 'What I plan to do next week' but before 'Blockers', 2) Three unchecked to-do blocks appear with exact text and emojis specified, 3) A divider block follows the todos, 4) An italic paragraph with today's date appears at the end of the page",✅,✅,"Doesn't check italic styling, because not supported. But it does check for the content. ",,,
Dzaka,"On the 'External Resources & Links' page: First, completely swap the positions of the 'Documentation' section and the 'Tools' section, preserving all bookmark blocks within each. Then create a new heading_2 block titled '🚀 Development Resources' immediately after the swapped sections but before any existing divider. Under this new heading, add a callout block with gray_background and '💻' icon containing the exact text 'Important: All external links should be verified monthly for availability.'. Finally, count all bookmark blocks on the page and add a paragraph at the very end with italic text: 'Total external resources: [NUMBER] links'.","Verify that 'Tools' section (with its bookmarks) now appears before 'Documentation' section. Check new '🚀 Development Resources' heading exists after the swapped sections. Confirm callout block has gray background, 💻 icon, and exact text. Verify final paragraph shows correct count of all bookmark blocks with italic formatting.",✅,✅,Doesn't check italic styling. ,,,
Dzaka,"Find the 'Engineering Wiki' page and add a comprehensive new section. Insert immediately AFTER the 'Environment Variables' heading_3 but BEFORE any content that follows it: First, add a divider block. Then add heading_2 '🔧 Development Best Practices'. Under this, create a callout with gray_background and icon '📋' containing bold text 'Code Review Checklist'. Below the callout, add a todo list with exactly these unchecked items: '✅ All tests pass locally', '📝 Code follows team style guide', '🔍 No console.log statements in production code', '📊 Performance impact assessed', '🔒 Security implications reviewed'. Then add a heading_3 '🚀 Deployment Checklist' followed by another set of unchecked todos: '📦 Dependencies updated', '🏷️ Version tag created', '📄 Changelog updated', '✅ Staging environment tested'.",Verify divider appears immediately after 'Environment Variables' heading_3. Check heading_2 'Development Best Practices' follows divider. Validate gray callout with checklist icon and bold text. Confirm first todo list has 5 items with exact text and emojis. Verify second heading_3 and todo list with 4 items exist in correct position.,✅,✅,No custom block insert position,,,
Dzaka,"In the 'Company Handbook' page, add a new section immediately AFTER the 'Benefits' section but BEFORE any footer content. Create a heading_2 '🌟 Professional Development', then a paragraph with text 'We invest in our team's growth through:'. Add a callout block with green background and '💡' icon containing 'New initiatives launching Q2 2024'. Below this, create exactly four numbered list items: '1. Monthly learning workshops with industry experts', '2. Annual conference attendance (up to $3,000)', '3. Certification reimbursement program', '4. Internal mentorship matching'. End with a quote block containing: 'Learning never stops at our company - it's part of who we are.'",Verify new section appears exactly after Benefits section. Check heading_2 has '🌟' emoji and exact text. Confirm callout has green background with '💡' icon. Verify all four numbered list items exist with exact text. Confirm quote block contains exact message.,✅,✅,,,,
Dzaka,"On the 'Company Handbook' page, perform a complex reorganization: 1) Swap the positions of 'Our Values' section (including all 3 bulleted items beneath it) with the 'Benefits' section (including all 4 numbered items), preserving exact content and formatting, 2) Immediately after the swapped 'Our Values' section (now at the bottom), add a divider block, 3) Below the divider, add a new heading_2 '🌟 Culture & Recognition', 4) Under this new heading, add a callout block with yellow_background and '🏆' icon containing 'Quarterly awards program recognizing outstanding contributions', 5) Finally, in the 'Work Policies' section, between the 'Remote Work' and 'Time Off' subsections, insert a new heading_3 '🕐 Core Hours' followed by a paragraph 'All team members should be available for collaboration between 10 AM - 2 PM in their local timezone.'","Benefits section (heading + 4 numbered items) must now appear where Values section was (after paragraph, before Work Policies). Values section must be at end. New Culture section with exact callout must follow Values. Core Hours subsection must be inserted between Remote Work and Time Off with exact heading and paragraph text.",✅,✅,No custom block insert position,,,
Dzaka,"Navigate to the 'Getting Started' page. Find the 'Quick Start Checklist' section. Add a new date-based section immediately AFTER the last to-do item 'Share a page with a teammate' but BEFORE the 'Key Features' heading. The date header must be a bold paragraph block with text '**2024-02-15**' matching the style of other date headers in the system. Directly beneath this date, add exactly three unchecked to-do blocks with these exact texts: '🔍 Master advanced search features', '📊 Set up analytics dashboard', '🚀 Deploy first production build'. Then add a divider block after the last to-do.","Verify that between order positions 6 and 7 on page-1, there is: 1) A paragraph block with bold text '**2024-02-15**', 2) Three unchecked todo blocks with exact emoji prefixes and specified texts, 3) A divider block. The 'Key Features' heading must now be at order position 12 or higher.",✅,✅,No custom block insert position,,,
Dzaka,"Navigate to the 'Getting Started' page. Add a new section immediately AFTER the 'Quick Start Checklist' section but BEFORE the 'Key Features' heading. The new section must have a heading_2 block with text '📊 Progress Tracking'. Directly under this heading, add a callout block with Blue background and icon '📈' containing a paragraph with bold text 'Completion Status:'. Below this paragraph (still inside the callout), add exactly three bulleted list items: 'Tasks Completed: 2 (50%)', 'Tasks Remaining: 2 (50%)', 'Last Updated: [today's date in YYYY-MM-DD format]'. After the callout block, add a divider, then add a paragraph with italic text 'Note: The percentages above are calculated from the checklist items.' ensuring the text has italic formatting applied.","Check that the new 'Progress Tracking' section appears between 'Quick Start Checklist' and 'Key Features' sections. Verify the callout has Blue background with '📈' icon and contains exactly the specified text with bold formatting for 'Completion Status:'. Confirm the three bulleted list items show the correct counts (2 completed, 2 remaining) with 50% for each. Verify the divider appears after the callout, followed by the italic paragraph.",✅,✅,No custom block insert position. Can't add items inside callout blocks. So the bulleted list are a sibling blocks to the callout blocks.,,,
Dzaka,"On the 'Company Handbook' page, swap the positions of the 'Our Values' section (including all its bullet points) with the 'Work Policies' section (including all its subsections). After swapping, add a new toggle block immediately after the 'Work Policies' heading (which should now be where 'Our Values' was) with exact text '📋 Policy Change Log (Click to expand)'. Inside this toggle, add a numbered list with items: '1. January 2024: Reorganized handbook structure for better navigation', '2. Updated remote work policy to include international guidelines', '3. Added new time-off policies for parental leave'.","Work Policies' section must now appear where 'Our Values' was originally, with all content preserved. 'Our Values' must be in the original 'Work Policies' position. The toggle block must be positioned immediately after the relocated 'Work Policies' heading and contain exactly three numbered list items with the specified text.",✅,❌,Toggle block,,,
Dzaka,"On the 'Company Handbook' page, perform a complete reorganization: First, swap the positions of the 'Our Values' section and the 'Benefits' section, preserving all content within each. Then, immediately after the paragraph 'We offer flexible remote work options. Team members can work from anywhere.' but before the 'Time Off' heading, insert a new heading_3 block with text '🌍 Global Teams' followed by a callout block with yellow background and 🌐 icon containing 'We have team members across 15+ countries and 8 time zones.' Finally, create a toggle block at the very end of the page titled '📋 Quick Reference (Click to expand)' containing a numbered list with these exact items: '1. Unlimited PTO policy', '2. $2,000 annual learning budget', '3. Full remote work flexibility', '4. Health insurance coverage'.",The 'Our Values' and 'Benefits' sections must be completely swapped. The new 'Global Teams' section must be inserted at the exact specified position. The toggle block must be at the end with the exact numbered list items.,✅,❌,Toggle block,,,
Dzaka,"On the 'Project Guidelines & Best Practices' page, you need to consolidate and reorganize the repetitive callout blocks. First, delete all duplicate callout blocks, keeping only the first instance of each type (keep blocks with IDs ending in -2 through -7). Then, after the remaining callouts, add a heading_2 '📋 Compliance Checklist' followed by a new section. Create todo blocks for each guideline type: '☑️ Unit tests written for all new code' (unchecked), '☑️ No API keys in repository verified' (unchecked), '☑️ Production deployment approval obtained' (unchecked), '☑️ TypeScript strict mode enabled' (unchecked), '☑️ Changelog updated' (unchecked), '☑️ Security review completed' (unchecked). Finally, add a divider followed by a paragraph with text 'Last compliance check: [today's date] - 0 of 6 items verified'.",Verify only 6 callout blocks remain (one of each type). Confirm 'Compliance Checklist' heading appears after the last callout. Check that exactly 6 unchecked todo items are present with correct text and ☑️ emoji. Verify divider appears after todos. Confirm paragraph includes today's date and '0 of 6 items verified'.,✅,✅,,,,
Dzaka,"Create a 'Weekly Planning Hub' page as a child of 'Getting Started'. Fetch the 'Weekly Standup Template' page and analyze its structure. Build the new page with heading_1 '📅 Weekly Planning Hub', then heading_2 '🎯 Week of [CURRENT WEEK START DATE]'. Under this, create three column sections side by side. In the left column, add heading_3 '📝 Monday-Tuesday', in middle column heading_3 '📝 Wednesday-Thursday', and in right column heading_3 '📝 Friday & Wrap-up'. For each column, replicate the exact to-do structure from the Weekly Standup Template but customize the items: In Monday-Tuesday add 4 unchecked todos starting with '🔸', in Wednesday-Thursday add 4 unchecked todos starting with '🔹', in Friday add 3 unchecked todos starting with '🔺' plus one checked todo '✓ Submit weekly report'. Below the columns, add a divider, then a callout with Gray background containing bold text '**Weekly Focus:** ' followed by italic text '*Complete sprint planning and mid-week review*'.","Verify that: 1) Page created under 'Getting Started', 2) Three-column layout implemented with specified headings, 3) Todo items use correct emoji prefixes for each day group, 4) Friday section has 3 unchecked and 1 checked todo, 5) Gray callout contains both bold and italic formatted text as specified",✅,❌,Column layout,,,
Dzaka,"Perform a complex reorganization of the 'Team Directory' page. First, analyze the page content and add a new section at the very beginning (before any existing content) with heading_2 '👥 Team Overview Dashboard'. Create a callout with Purple background containing bold text 'Living document - Updated [today's date]'. Below, add three columns: Column 1 has heading_3 '🏢 By Department' with a numbered list of departments found in the directory. Column 2 has heading_3 '📍 By Location' with a bulleted list of office locations. Column 3 has heading_3 '📊 Team Stats' with paragraphs showing 'Total team members: [X]', 'Departments: [Y]', 'Average tenure: [Z] years'. After the columns, add a divider. Then locate any existing team member entries and add a yellow highlight property to entries for team leads or managers. Finally, at the end of the page, add heading_2 '🔄 Recent Updates' with a changelog format listing the modifications made.","The Team Overview Dashboard must be the first content on the page with Purple background callout. The three columns must contain accurate department, location, and statistical information. Team lead entries must have yellow highlighting applied. The Recent Updates section must be at the end with a proper changelog of modifications.",✅,❌,"Column layout, Text highlighting",,,
Dzaka,"Create a 'Feature Development Tracker' page under the main workspace. Analyze the 'Feature Requests' and 'Bug Tracker' pages to compile development priorities. Structure with: heading_1 '🎯 Feature Development Tracker', callout with Purple background containing heading_3 'Dashboard Overview' and paragraph 'Unified view of features and critical bugs requiring development attention.' Below, add heading_2 '🚨 High Priority Items' and fetch all unchecked todos from 'Bug Tracker' page's 'Critical Bugs' section, adding each as a todo block prefixed with '[BUG]'. Then add heading_2 '✨ Feature Pipeline' and fetch all todos from 'Feature Requests' page, organizing them in two subsections: heading_3 '🟢 Ready for Development' (for checked items - add as paragraph blocks) and heading_3 '🔵 Under Consideration' (for unchecked items - add as todo blocks). End with a heading_2 '📊 Summary Statistics' containing a code block with: 'Critical Bugs: [X]\nFeatures Ready: [Y]\nFeatures Pending: [Z]\nTotal Items: [TOTAL]'","The page must aggregate data from both Feature Requests and Bug Tracker pages. Critical bugs must be prefixed with [BUG]. Checked features must appear as paragraphs under Ready for Development, unchecked as todos under Under Consideration. The code block must show accurate counts with proper formatting using newlines.",✅,✅,,,,
Dzaka,"Navigate to the 'Code Examples Repository' page and perform a complex content injection. Find the first image block on the page and insert immediately BEFORE it a new heading_2 '🖼️ Visual Assets Library'. Under this heading, add a callout with Brown background (no icon) containing a heading_3 block with text 'Asset Usage Guidelines' followed by a bulleted list with exactly: '• All images must be optimized for web (< 500KB)', '• Use descriptive alt text for accessibility', '• Maintain 16:9 aspect ratio for consistency'. Then, at the very end of the page, add a divider followed by a heading_2 '🔗 Related Resources'. Under this, create a two-column layout with bookmark blocks on the left linking to 'Design System' and 'Engineering Wiki' pages (if they exist), and on the right add a quote block stating 'For additional examples, consult the team knowledge base or reach out to the architecture team.'","Verify that: 1) '🖼️ Visual Assets Library' heading_2 appears immediately before the first image block, 2) Brown callout with no icon contains heading_3 'Asset Usage Guidelines', 3) Three bulleted items appear in exact order, 4) Divider and '🔗 Related Resources' section appear at page end, 5) Bookmark blocks link to Design System and Engineering Wiki pages.",✅,❌,"Column layout, Nested blocks in callouts",,,
Dzaka,"On the 'Engineering Wiki' page, perform a complex reorganization. First, swap the complete 'Tech Stack' section (including its heading and all bullet points) with the 'Development Setup' section (including all its content). After swapping, insert a new section immediately AFTER the relocated 'Tech Stack' section but BEFORE the 'Environment Variables' heading. This new section should have a heading_2 '🔧 Required Tools' followed by a callout with Yellow background and icon '⚠️' containing text 'Ensure all tools are installed before proceeding with setup'. Under the callout, add a numbered list with exactly these items: '1. Node.js v18 or higher', '2. Docker Desktop latest version', '3. Git with configured SSH keys'. Finally, at the very end of the page (after all existing content), add a divider block followed by a paragraph with italic text: 'Last reorganized on [TODAY'S DATE]' where [TODAY'S DATE] should be the actual current date.","Verify that: 1) Tech Stack section (with bullets for Frontend, Backend, Database) now appears where Development Setup was, 2) Development Setup section (with numbered steps) appears where Tech Stack was, 3) The new 'Required Tools' section appears between relocated Tech Stack and Environment Variables, 4) The yellow callout has correct icon and text, 5) The numbered list has exactly the three specified items, 6) A divider and italic paragraph with current date appear at the page end",✅,✅,Doesn't check italic styling.,,,
Dzaka,"On the 'Feature Requests' page, add a new section immediately AFTER the 'High Priority' section but BEFORE 'Community Suggestions'. Title it heading2 '🚀 In Development'. Below this, add three checked to-do blocks: '✅ API rate limiting', '✅ Webhook integrations', '✅ Advanced permissions system'. Then analyze all to-do blocks on the page. At the end of the page, add a divider followed by heading3 '📈 Feature Request Analytics'. Create a table-like structure using bulleted lists: '• Total requests: [X]', '• Completed features: [Y] ([Z]%)', '• In development: 3', '• Pending approval: [W]'. If completed percentage is over 60%, add a green callout saying '🎉 Great progress on feature delivery!', otherwise add a yellow callout saying '⚡ Accelerate feature development to meet user demands.'","Verify '🚀 In Development' section is positioned correctly with 3 checked todos, analytics section shows accurate counts, and the conditional callout (green or yellow) appears based on the completion percentage being above or below 60%.",✅,✅,,,,
Dzaka,"Navigate to the 'Comprehensive Product Requirements Document' page (page-47). Locate the 'Overview' section (heading2 block). Insert a new subsection immediately AFTER the 'Overview - Part 2' heading3 block but BEFORE the 'Overview - Part 3' heading3 block. Title this new subsection exactly 'Overview - Critical Updates' as a heading3. Directly beneath this, add a callout block with Red background and ⚠️ icon containing the text 'URGENT: Requirements frozen as of [today's date]'. Then add exactly three bulleted list items: '🔒 No further modifications without VP approval', '📅 Implementation deadline: Q2 2026', '👥 Stakeholder sign-off required by EOW'. Finally, update all existing 'Key point 1 for Overview' bullets throughout the document to include a '🔸' emoji prefix.","Check that the new 'Overview - Critical Updates' heading3 exists between Part 2 and Part 3 headings. Verify the callout has Red background, ⚠️ icon, and contains exact text with today's date. Confirm exactly 3 bullet points with specified emojis and text. Verify ALL 'Key point 1 for Overview' bullets now start with '🔸' emoji.",✅,✅,,,,
Dzaka,"Create a new page titled 'Design System Audit' under 'Design System' (page-35). Fetch all child pages of Design System (Color Palette, Typography, Components) and analyze their content. Structure the audit page: heading1 '🎨 Design System Audit', heading2 '📋 System Overview'. For each child page, create heading3 '[icon] [title] Analysis' followed by a two-column layout: Left column is a callout with Light Blue background showing 'Blocks: [count] | Last updated: [date]', Right column is a callout with Light Green background listing all unique block types found in format '• [type]: [count]'. After all analyses, add heading2 '🔍 Recommendations' with a numbered list: '1. Most developed section: [page with most blocks]', '2. Needs attention: [page with least blocks]', '3. Total system components: [sum of all blocks]'.","Page created under Design System. Check heading structure with exact emojis. For each child page, verify heading3 with icon/title and two-column layout with accurate block counts, dates, and block type breakdowns. Confirm recommendations section identifies pages with most/least content and calculates total blocks across all child pages.",✅,❌,Column layout,,,
Dzaka,"Navigate to the 'Design System' page (page-7). Create three new child pages: '🎨 Color Guidelines', '📐 Layout Grids', and '🧩 Component Library'. In the main Design System page, add a new section immediately after any existing content with heading_2 '📚 Design Resources'. Below this, add three bookmark blocks linking to the newly created child pages with exact captions: 'Comprehensive color palette and usage guidelines', 'Responsive grid systems and spacing rules', and 'Reusable UI components and patterns'. Then add a callout with purple_background and 🎨 icon containing: 'Last updated: [today's date]'. Move any existing child pages of Design System to be under the new 'Component Library' page.",Verify three child pages exist with exact titles and emojis. Check heading_2 '📚 Design Resources' added to main page. Confirm three bookmark blocks with exact captions. Verify purple callout with date. Check any original child pages are now under Component Library.,✅,✅,can't really test if the given bookmark link points to internal page.,,,
Dzaka,"Navigate to the 'Bug Tracker' page. Add a new bug section immediately AFTER the 'Medium Priority' heading and its to-do items but BEFORE the 'Low Priority' heading. The new section must have a heading_2 block with text 'In Progress', followed by exactly three unchecked to-do blocks with these exact texts: '🔧 Fix notification system delay on iOS', '🐞 Debug memory leak in image uploader', and '⚡ Optimize database query for user search'. Ensure the new section follows the same structure pattern as existing priority sections.",Verify 'In Progress' heading_2 appears after last Medium Priority to-do (order > 8) but before 'Low Priority' heading (order < current Low Priority order). Check exactly 3 unchecked to-do blocks exist with specified emoji prefixes and exact text content in correct order.,✅,✅,,,,
Dzaka,"In the 'Getting Started' page, perform a surgical update to the Quick Start Checklist section. Between the 'Create your first page' to-do and the 'Try different block types' to-do, insert exactly two new to-do items: First, an unchecked to-do with text '📊 Review the team dashboard', then another unchecked to-do with text '🔔 Set up your notification preferences'. After the entire checklist section but before the 'Key Features' heading, add a callout block with blue background and '💡' icon containing: 'Tip: Complete these tasks in order for the best onboarding experience!'",Check new todos appear between specified existing todos (order between 4 and 5). Verify exact text with emoji prefixes and unchecked state. Confirm blue callout with 💡 icon appears after last checklist item but before Key Features heading.,✅,✅,,,,
Dzaka,"On the 'Project Guidelines & Best Practices' page (which has 31 callout blocks), perform a sophisticated content analysis and enhancement. First, count all callout blocks and group them by their background color. Insert a new section at the very beginning of the page (after the title): heading_2 '📊 Guidelines Overview' with a paragraph 'This document contains [X] best practice guidelines organized by priority.' Create a table with columns 'Priority Level', 'Color Code', 'Count', 'Topics' and populate based on callout colors (Red=Critical, Yellow=Important, Blue=Informational, others=General). After every 5th callout block in the original content, insert a divider followed by a quote block containing 'Section checkpoint: [X] of [Y] guidelines reviewed' where X is the number of callouts so far and Y is the total. At the end of the page, add heading_2 '✅ Implementation Checklist' with a todo list containing one item for each Red/Critical callout, using the first 50 characters of each callout's content as the todo text.",The Guidelines Overview must be the first content after the title. The table must accurately categorize callouts by color with correct counts. Checkpoint quotes must be inserted exactly after every 5th callout with accurate progressive counts. The Implementation Checklist must contain one todo for each Red callout with the first 50 characters of its content.,✅,❌,Column layout,,,
Dzaka,"Navigate to the 'Sprint Planning - Jan 15' page and create a comprehensive sprint summary at the bottom of the page. Add a divider, then heading_2 '📈 Sprint Velocity Calculation'. Create a callout with blue background and 🧮 icon. Inside, add a bold paragraph '**Sprint Metrics**' followed by analysis of all todo items on the page. Add a bulleted list showing: 'Story points completed: [sum numbers from checked todos]', 'Story points remaining: [sum numbers from unchecked todos]', 'Sprint velocity: [completed/total * 100]%', 'Team capacity utilized: [create a visual bar using emoji 🟦 for completed and ⬜ for remaining, proportional to the percentages]'.","Sprint Velocity Calculation section at page bottom after divider, blue callout with Sprint Metrics bold text, bulleted list with calculated sums and percentage, and emoji-based visual progress bar matching the completion ratio.",✅,✅,,,,
Dzaka,"Access the 'Project Documentation' page and all its sub-pages. Create a new page titled '📚 Documentation Index' as a sibling to 'Project Documentation'. Structure: heading_1 '📚 Complete Documentation Index', heading_2 '🗂️ Documentation Structure'. For each page in the hierarchy (including Project Documentation and all descendants), create an entry showing: '• [ICON] [Page Title] - [BLOCK_COUNT] content blocks' where ICON is the page's icon and BLOCK_COUNT is the total blocks in that page. Add heading_2 '📊 Statistics' with a callout containing 'Total Pages: [X], Total Content Blocks: [Y], Average Blocks per Page: [Z]' with purple_background.",The new page must be at the same level as 'Project Documentation'. Each page must be listed with its actual icon and accurate block count. The statistics callout must show correct totals and average (rounded to 1 decimal).,✅,✅,,,,
Dzaka,"On the 'Onboarding Guide' page, swap the complete 'First Day Tasks' and 'First Week Goals' sections, preserving all their content. After swapping, insert a new section immediately AFTER what is now the 'First Day Tasks' section (which will be in the second position). Add a divider, then heading2 '🎯 30-Day Milestones', followed by exactly three todo blocks with these texts: 'Complete product deep-dive training', 'Shadow customer support for one day', and 'Present learnings to the team'. Then find the image used on the 'Team Directory' page (block-8-9) and add it at the end of the Onboarding Guide with a caption paragraph 'Meet your new colleagues!' in italic text.",First Week Goals' section must now appear before 'First Day Tasks' section with all original content intact. A divider and new '🎯 30-Day Milestones' section with three specific unchecked todos must appear after the swapped 'First Day Tasks'. The Team Directory image must appear at the end with italic caption 'Meet your new colleagues!',✅,✅,,,,
Dzaka,"Navigate to the 'Sprint Planning - Jan 15' page (a child of 'Meeting Notes'). Add a new section immediately AFTER the 'Action Items' heading but BEFORE the existing to-do blocks. The new section must have a heading_2 block with exact text '🎯 Priority Tasks' followed by exactly three unchecked to-do blocks with these exact texts: '🔥 URGENT: Fix authentication bug in production', '⚡ HIGH: Complete API performance optimization', and '📊 MEDIUM: Implement analytics dashboard'. Then, add a divider block after these todos. Finally, insert a paragraph block with italic text saying 'Last review: [today's date]' where you replace [today's date] with the actual current date.",Verify the new '🎯 Priority Tasks' heading_2 appears after 'Action Items' heading but before Alice's to-do. Check that exactly three unchecked to-do blocks follow with the exact specified text and emoji prefixes. Confirm a divider block appears after the todos and the italic paragraph with current date is at the end of the new section.,✅,✅,"Doesn't check italic styling, No custom block insert position",,,
Dzaka,"On the 'API Documentation' page, add a new section at the very end of the existing content. First add a divider, then heading_2 '🔐 Authentication Methods'. Create a callout with yellow_background and 🔑 icon: 'All API requests must include authentication headers'. Then add three heading_3 blocks with accompanying content: '🎫 API Key Authentication' followed by a code block with language 'javascript' containing 'headers: { ""X-API-Key"": ""your-api-key"" }', then '🔒 OAuth 2.0' with a numbered list of steps, and '🛡️ JWT Tokens' with a paragraph about token expiration.","Verify new content is at the absolute end of the page. Check divider, then heading_2 with 🔐 emoji. Confirm callout has yellow_background, 🔑 icon. Verify three heading_3 blocks with correct emojis and the code block has javascript language setting with exact header syntax.",✅,✅,,,,
Dzaka,"In the 'Code Examples Repository' page, locate the 'Python Examples' section. Insert a new section immediately AFTER the paragraph 'Common python pattern for production code.' but BEFORE the 'Typescript Examples' heading. Add heading_2 'Go Examples' followed by a code block with language 'go' containing exactly: 'func processData(items []string) map[string]int { result := make(map[string]int) for _, item := range items { result[item]++ } return result }'. Then add a paragraph 'Common go pattern for production code.' matching the exact format of other language sections. Finally, at the very end of the page, add a heading_2 '📚 Additional Resources' with a bookmark block linking to 'https://go.dev/doc/' with caption 'Official Go Documentation'.","Go Examples section appears between Python and Typescript sections with exact heading, code block with 'go' language setting, and paragraph text. Additional Resources section at end contains bookmark with exact URL and caption.",✅,✅,,,,
Dzaka,"On 'Company Handbook' page, perform a major restructuring. First, analyze all content and group related blocks. Insert heading_2 '📑 Table of Contents' at the very beginning (after title) with a bulleted list of all existing heading_2 sections found on the page. Then for each section that contains more than 5 blocks, add a callout with gray_background at the beginning of that section with text 'Section length: [X] items | Estimated read time: [X*0.5] minutes'. For any section with fewer than 3 blocks, add a paragraph at the end with italic text: 'This section is under development and will be expanded soon.' Finally, add heading_2 '🔄 Revision History' at the very end with a todo list: '☐ Q1 2024 Review - Legal compliance check', '☐ Q2 2024 Review - Policy updates', '☐ Q3 2024 Review - New employee feedback integration', '☐ Q4 2024 Review - Annual comprehensive update'.",Table of Contents appears at beginning listing all heading_2 sections. Sections with >5 blocks have gray callouts with item count and read time. Sections with <3 blocks have italic development notice. Revision History at end contains four specific quarterly review todos.,✅,✅,Doesn't check italic styling,,,
Dzaka,"On the 'Onboarding Guide' page, inject a progress tracking system. Locate the 'First Week Goals' heading_2. Count all to-do blocks between 'First Day Tasks' and 'First Week Goals' sections. Insert immediately AFTER 'First Day Tasks' heading but BEFORE its first content block: add a callout with green_background and '📈' icon containing: 'First Day Checklist: [X] essential tasks to complete'. Then, immediately BEFORE 'First Week Goals' section, add a divider followed by a heading_3 '🔄 Progress Checkpoint' and a paragraph with bold text: 'By end of Day 1, you should have completed [X] tasks. Week 1 builds upon these foundations.' where [X] is the actual count of todos in First Day Tasks section.",Check the green callout appears right after First Day Tasks heading. Verify it shows the correct count of todos in that section. Confirm the Progress Checkpoint appears with divider before First Week Goals. Verify the paragraph contains bold text with accurate task count.,✅,✅,Doesn't check bold styling,,,
Dzaka,"Navigate to the 'Company Handbook' page and implement a comprehensive navigation system. First, find all heading_2 blocks on the page. At the very beginning of the page content (after the main heading_1 but before any other content), add a heading_2 '📑 Table of Contents' followed by a callout with gray_background and icon '🧭' containing the text 'Quick Navigation Guide'. Under the callout, create a numbered list where each item corresponds to a heading_2 found on the page, with format '[number]. [heading text] →'. After each original heading_2 in the document, add a paragraph with right-aligned text (using properties) containing '↑ Back to contents'. Finally, at the very end of the page, add a divider followed by a quote block with text 'Handbook contains [X] main sections' where X is the count of heading_2 blocks.",Verify 'Table of Contents' heading appears after main heading with gray callout below it. Check numbered list contains all heading_2 texts in order. Confirm each heading_2 has '↑ Back to contents' paragraph after it. Verify quote at end shows correct section count.,✅,❌,Right aligned,,,
